股票代码,股票名称
300746,汉嘉设计
300613,富瀚微
688322,奥比中光-UW
301051,信濠光电
600029,南方航空
871396,常辅股份
600835,上海机电
920082,方正阀门
300308,中际旭创
688162,巨一科技
601882,海天精工
300324,旋极信息
603816,顾家家居
000923,河钢资源
835985,海泰新能
002045,国光电器
301568,思泰克
836807,奔朗新材
603707,健友股份
300096,ST易联众
600200,*ST苏吴
300176,鸿特科技
300031,宝通科技
002173,创新医疗
002195,岩山科技
300806,斯迪克
301293,三博脑科
002354,天娱数科
300457,赢合科技
300780,德恩精工
300782,卓胜微
300082,奥克股份
603786,科博达
002218,拓日新能
688788,科思科技
300628,亿联网络
603855,华荣股份
688661,和林微纳
300177,中海达
688498,源杰科技
600038,中直股份
603355,莱克电气
002425,ST凯文
002972,科安达
301326,捷邦科技
300546,雄帝科技
300627,华测导航
300278,华昌达
002025,航天电器
688768,容知日新
600586,金晶科技
002245,蔚蓝锂芯
300127,银河磁体
688183,生益电子
600751,海航科技
688479,友车科技
002928,华夏航空
300832,新产业
002523,天桥起重
002492,恒基达鑫
600698,湖南天雁
601519,大智慧
600675,中华企业
600337,美克家居
300154,瑞凌股份
603520,司太立
002530,金财互联
000059,华锦股份
688051,佳华科技
837821,则成电子
301631,壹连科技
300840,酷特智能
601033,永兴股份
300460,惠伦晶体
600616,金枫酒业
300027,华谊兄弟
002518,科士达
002097,山河智能
300767,震安科技
688681,科汇股份
300407,凯发电气
002912,中新赛克
002189,中光学
002316,ST亚联
002414,高德红外
300845,捷安高科
688252,天德钰
002823,凯中精密
601086,国芳集团
605268,王力安防
688677,海泰新光
603215,比依股份
002719,麦趣尔
603686,福龙马
688411,海博思创
605099,共创草坪
601688,华泰证券
600531,豫光金铅
688008,澜起科技
002532,天山铝业
603313,梦百合
300837,浙矿股份
000733,振华科技
002812,恩捷股份
002279,久其软件
000609,*ST中迪
002421,达实智能
002559,亚威股份
301559,中集环科
300784,利安科技
000608,*ST阳光
301199,迈赫股份
688001,华兴源创
831010,凯添燃气
301510,固高科技
603901,永创智能
603519,立霸股份
688146,中船特气
600481,双良节能
603162,海通发展
300331,苏大维格
603883,老百姓
300812,易天股份
300599,雄塑科技
600238,*ST椰岛
300563,神宇股份
600105,永鼎股份
002766,索菱股份
603209,兴通股份
002534,西子洁能
920682,球冠电缆
688719,爱科赛博
300777,中简科技
300697,电工合金
600984,建设机械
688558,国盛智科
688099,晶晨股份
301213,观想科技
601500,通用股份
002199,*ST东晶
688689,银河微电
603275,众辰科技
002945,华林证券
301234,五洲医疗
600456,宝钛股份
301137,哈焊华通
603031,安孚科技
002376,新北洋
301628,强达电路
688530,欧莱新材
301159,三维天地
300775,三角防务
301502,华阳智能
300766,每日互动
601368,绿城水务
872953,国子软件
603278,大业股份
300809,华辰装备
301600,慧翰股份
300374,中铁装配
688271,联影医疗
601066,中信建投
603300,海南华铁
831152,昆工科技
300739,明阳电路
002829,星网宇达
000737,北方铜业
603679,华体科技
002151,北斗星通
300961,深水海纳
688777,中控技术
688053,思科瑞
300368,ST汇金
603373,安邦护卫
002995,天地在线
603969,银龙股份
600167,联美控股
000670,盈方微
688292,浩瀚深度
833266,生物谷
300284,苏交科
688308,欧科亿
000970,中科三环
301498,乖宝宠物
603598,引力传媒
835368,连城数控
301261,恒工精密
000935,四川双马
001269,欧晶科技
002315,焦点科技
002439,启明星辰
002249,大洋电机
002603,以岭药业
603915,国茂股份
301418,协昌科技
603444,吉比特
688456,有研粉材
600822,上海物贸
300693,盛弘股份
000960,锡业股份
603558,健盛集团
688207,格灵深瞳
300042,朗科科技
301488,豪恩汽电
002920,德赛西威
300760,迈瑞医疗
002971,和远气体
002862,实丰文化
688601,力芯微
600876,凯盛新能
601919,中远海控
601995,中金公司
300151,昌红科技
601799,星宇股份
300769,德方纳米
600679,上海凤凰
002253,*ST智胜
605488,福莱新材
000905,厦门港务
300382,斯莱克
300997,欢乐家
300699,光威复材
603189,网达软件
300597,吉大通信
688819,天能股份
300971,博亚精工
002140,东华科技
603806,福斯特
688721,龙图光罩
002667,威领股份
600714,金瑞矿业
002369,卓翼科技
301633,港迪技术
300673,佩蒂股份
001268,联合精密
300052,ST中青宝
002866,传艺科技
603081,大丰实业
301029,怡合达
603191,望变电气
300542,新晨科技
688239,航宇科技
601966,玲珑轮胎
301193,家联科技
688772,珠海冠宇
300248,新开普
430198,微创光电
603619,中曼石油
300738,奥飞数据
600999,招商证券
601456,国联民生
600756,浪潮软件
002590,万安科技
601377,兴业证券
300162,雷曼光电
002023,海特高新
688590,新致软件
688262,国芯科技
837092,汉鑫科技
000957,中通客车
600109,国金证券
600877,电科芯片
688158,优刻得-W
688420,美腾科技
300779,惠城环保
300616,尚品宅配
301038,深水规院
300525,博思软件
000099,中信海直
688080,映翰通
873665,科强股份
300674,宇信科技
688549,中巨芯-U
600119,长江投资
002368,太极股份
002615,哈尔斯
601702,华峰铝业
300596,利安隆
832469,富恒新材
601018,宁波港
301113,雅艺科技
688560,明冠新材
834415,恒拓开源
300520,科大国创
688231,隆达股份
603120,肯特催化
300418,昆仑万维
688032,禾迈股份
301308,江波龙
688023,安恒信息
688593,新相微
000049,德赛电池
002929,润建股份
002698,博实股份
000430,ST张家界
003028,振邦智能
301210,金杨股份
301533,威马农机
002003,伟星股份
301042,安联锐视
600370,三房巷
605376,博迁新材
300405,科隆股份
603222,济民健康
300014,亿纬锂能
003003,天元股份
003007,直真科技
002827,高争民爆
600335,国机汽车
300416,苏试试验
603613,国联股份
000987,越秀资本
002351,漫步者
002472,双环传动
002560,通达股份
600495,晋西车轴
830839,万通液压
300789,唐源电气
300390,天华新能
834021,流金科技
300552,万集科技
301577,美信科技
301567,贝隆精密
300872,天阳科技
002177,御银股份
301152,天力锂能
000066,中国长城
300792,壹网壹创
002733,雄韬股份
831175,派诺科技
835670,数字人
688589,力合微
600831,ST广网
873305,九菱科技
688238,和元生物
871634,新威凌
300230,永利股份
688728,格科微
000524,岭南控股
603527,众源新材
300025,华星创业
002248,华东数控
688766,普冉股份
300869,康泰医学
600155,华创云信
301522,上大股份
300938,信测标准
688726,拉普拉斯
300173,福能东方
300906,日月明
002146,荣盛发展
600476,湘邮科技
301369,联动科技
301073,君亭酒店
600326,西藏天路
603918,金桥信息
002192,融捷股份
430139,华岭股份
301239,普瑞眼科
603616,韩建河山
688449,联芸科技
300265,通光线缆
831855,浙江大农
301348,蓝箭电子
688305,科德数控
001309,德明利
002131,利欧股份
600549,厦门钨业
301171,易点天下
002057,中钢天源
873690,捷众科技
870199,倍益康
300207,欣旺达
603106,恒银科技
002855,捷荣技术
000096,广聚能源
002008,大族激光
603881,数据港
600288,大恒科技
688037,芯源微
870976,视声智能
603266,天龙股份
600850,电科数字
002258,利尔化学
002340,格林美
300560,中富通
600505,西昌电力
605378,野马电池
603027,千禾味业
003011,海象新材
603212,赛伍技术
688058,宝兰德
300100,双林股份
603097,江苏华辰
688750,金天钛业
300419,ST浩丰
300678,中科信息
300725,药石科技
300389,艾比森
688693,锴威特
300787,海能实业
688365,光云科技
000948,南天信息
688779,五矿新能
605199,ST葫芦娃
002064,华峰化学
002756,永兴材料
688711,宏微科技
000758,中色股份
605333,沪光股份
300748,金力永磁
002149,西部材料
603118,共进股份
000795,英洛华
603612,索通发展
603738,泰晶科技
300735,光弘科技
688283,坤恒顺维
003013,地铁设计
300686,智动力
300285,国瓷材料
300936,中英科技
600172,黄河旋风
600626,申达股份
603066,音飞储存
300456,赛微电子
301127,武汉天源
300991,创益通
601168,西部矿业
300143,盈康生命
300081,恒信东方
000727,冠捷科技
002302,西部建设
600415,小商品城
000612,焦作万方
600521,华海药业
603233,大参林
600478,科力远
300327,中颖电子
688591,泰凌微
000913,钱江摩托
603516,淳中科技
300603,立昂技术
603219,富佳股份
688710,益诺思
603211,晋拓股份
301292,海科新源
688153,唯捷创芯
832023,田野股份
688273,麦澜德
301178,天亿马
603506,南都物业
603026,石大胜华
603048,浙江黎明
000063,中兴通讯
300504,天邑股份
301030,仕净科技
603580,*ST艾艾
001380,华纬科技
301548,崇德科技
002079,苏州固锝
300088,长信科技
002576,通达动力
603669,灵康药业
603421,鼎信通讯
002510,天汽模
300311,任子行
001314,亿道信息
002564,天沃科技
002139,拓邦股份
300403,汉宇集团
688435,英方软件
601696,中银证券
000783,长江证券
600696,*ST岩石
002593,日上集团
600667,太极实业
300667,必创科技
002536,飞龙股份
301378,通达海
300056,中创环保
688326,经纬恒润-W
688285,高铁电气
300252,金信诺
834058,华洋赛车
300107,建新股份
000009,中国宝安
301161,唯万密封
300166,东方国信
601059,信达证券
002125,湘潭电化
002240,盛新锂能
688148,芳源股份
301110,青木科技
002466,天齐锂业
002531,天顺风能
301282,金禄电子
002598,山东章鼓
605298,必得科技
601878,浙商证券
601136,首创证券
000938,紫光股份
300551,古鳌科技
300463,迈克生物
